,1
jan22.txt,0.1105
feb22.txt,-0.109
march22.txt,-0.0212
april22.txt,0.0747
may22.txt,-0.1098
june22.txt,-0.1588
july22.txt,0.1469
aug22.txt,0.1105
sept22.txt,0.0747
oct22.txt,0.0747
nov22.txt,0.0747
dec22.txt,0.0485
jan20.txt,0.1229
feb20.txt,-0.0805
march20.txt,-0.0912
april20.txt,0.0462
may20.txt,-0.0132
june20.txt,0.1402
july20.txt,0.0536
aug20.txt,-0.192
sept20.txt,-0.0805
oct20.txt,0.1271
nov20.txt,0.1288
dec20.txt,-0.0132
jan21.txt,0.1407
feb21.txt,0.3157
march21.txt,0.0905
april21.txt,0.0948
may21.txt,0.0768
june21.txt,0.1075
july21.txt,0.095
aug21.txt,0.1032
sept21.txt,-0.0971
oct21.txt,0.0781
nov21.txt,0.2555
dec21.txt,0.0989
jan23.txt,0.0033
feb23.txt,0.0398
march23.txt,0.0257
april23.txt,0.0921
may23.txt,-0.053
june23.txt,-0.0881
july23.txt,0.0705
aug23.txt,0.1013
sept23.txt,0.1351
oct23.txt,0.0633
nov23.txt,-0.0873
dec23.txt,0.275
