,1
jan22.txt,0.1925
feb22.txt,0.1925
march22.txt,0.1703
april22.txt,0.2315
may22.txt,0.1703
jun22.txt,0.1703
july22.txt,0.1401
aug22.txt,0.2627
sept22.txt,0.1703
oct22.txt,0.1703
nov22.txt,0.1703
dec22.txt,0.2433
jan2023.txt,0.1559
feb2023.txt,0.2225
march2023.txt,0.26
april2023.txt,0.302
may2023.txt,0.2038
jun2023.txt,0.1191
july2023.txt,0.1325
aug2023.txt,0.2233
sept2023.txt,0.2615
oct2023.txt,0.2482
nov2023.txt,0.2743
dec2023.txt,0.3148
jan20.txt,0.0394
feb20.txt,0.1714
march20.txt,0.1549
apr20.txt,0.1447
may20.txt,0.1418
jun20.txt,0.1091
july20.txt,0.1714
aug20.txt,0.1577
sept20.txt,0.0347
oct20.txt,0.1715
nov20.txt,0.0618
dec20.txt,0.1418
jan2021.txt,0.183
feb2021.txt,0.2299
march2021.txt,0.0818
april2021.txt,0.1953
may2021.txt,0.0997
jun2021.txt,0.3034
jul2021.txt,0.2486
aug2021.txt,0.0869
sep2021.txt,0.1678
oct2021.txt,0.0731
nov2021.txt,0.0253
dec2021.txt,0.0989
